Month,Stations,Avg active bikes,EoM fleet,Membership
2013-06,322,5130,6000,52130
2013-07,328,5531,6000,66315
2013-08,332,5681,6000,77138
2013-09,332,5513,6000,85241
2013-10,332,5623,6000,93124
2013-11,332,5900,6000,94955
2013-12,332,6499,6000,96125
2014-01,332,5441,6000,97138
2014-02,329,4200,6000,97864
2014-03,327,5028,6000,100600
2014-04,324,5731,5808,105367
2014-05,327,5149,5276,105359
2014-06,325,5362,5276,96318
2014-07,323,5411,5367,93501
2014-08,325,5079,5066,93184
2014-09,325,5043,5351,90879
2014-10,328,5279,5461,89286
2014-11,325,4995,4592,88495
2014-12,325,4077,3716,88405
2015-01,327,3479,3318,88010
2015-02,328,3457,3472,87898
2015-03,327,3826,3965,87910
2015-04,320,3643,3579,86193
2015-05,319,4584,4908,84335
2015-06,324,5452,5480,86743
2015-07,325,6043,6478,80885
2015-08,412,6628,7344,81406
2015-09,442,7350,7454,87842
2015-10,450,7359,7080,90585
2015-11,465,6933,6765,91901
2015-12,456,6628,6302,92781
2016-01,467,6518,6452,93366
2016-02,469,6947,6820,94324
2016-03,469,6673,6142,97302
2016-04,460,6069,6554,93472
2016-05,467,6790,6858,105465
2016-06,467,7164,7410,108601
2016-07,467,7488,7563,109961
2016-08,562,8139,8450,114517
2016-09,589,8640,8936,118568
2016-10,590,9475,9557,118950
2016-11,594,9485,9303,119467
2016-12,585,7993,7471,119681
2017-01,597,7156,7046,120460
2017-02,598,7382,7584,121592
2017-03,594,8669,9331,121743
2017-04,593,9461,9335,124450
2017-05,605,9174,9330,128438
2017-06,608,8503,8117,130301
2017-07,608,9023,9757,132265
2017-08,609,9493,9789,132679
2017-09,622,10017,8114,133944
2017-10,727,9591,10803,136499
2017-11,729,11367,10936,136510
2017-12,740,9966,9619,136702
2018-01,752,9140,8963,137003
2018-02,752,8393,8732,138109
2018-03,750,9552,10193,138109
2018-04,741,10796,11504,140462
2018-05,733,10926,10949,144590
2018-06,739,10494,9903,146533
2018-07,751,9346,9134,147040
2018-08,749,9710,9667,146567
2018-09,753,8960,8060,146437
2018-10,749,8107,9259,146760
2018-11,749,10505,11568,147090
2018-12,746,11500,12456,147090
2019-01,757,11500,10961,151534
2019-02,760,11305,12074,148447
2019-03,757,12744,12793,150929
2019-04,775,12035,11190,152482
2019-05,777,11422,11956,152309
2019-06,759,12253,13201,152314
2019-07,778,12525,12015,153346
2019-08,781,12789,13144,153726
2019-09,793,13971,14805,153536
2019-10,817,13222,13205,152465
2019-11,853,14719,12860,152465
2019-12,864,12898,12800,149740
2020-01,881,12737,12744,149848
2020-02,885,12833,12263,150332
2020-03,884,13903,14027,152181
2020-04,885,14262,14142,152181
2020-05,915,14649,14686,175656
2020-06,956,14686,14477,177716
2020-07,975,14920,14513,177714
2020-08,1019,15946,16446,177548
2020-09,1081,16587,17147,177850
