"STATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT13","WT14","WT16","WT18","WT19","WT22"
"USW00094728","2013-01-01","6.93",,"0.00","0.0","0.0",,"40","26",,"  310","  300","15.0","25.9",,,,,,,,,,,,
"USW00094728","2013-01-02","5.82",,"0.00","0.0","0.0",,"33","22",,"  310","  340","15.0","21.9",,,,,,"    1",,,,,,
"USW00094728","2013-01-03","4.47",,"0.00","0.0","0.0",,"32","24",,"  260","  260","13.0","19.9",,,,,,,,,,,,
"USW00094728","2013-01-04","8.05",,"0.00","0.0","0.0",,"37","30",,"  290","  250","17.9","28.0",,,,,,,,,,,,
"USW00094728","2013-01-05","6.71",,"0.00","0.0","0.0",,"42","32",,"  310","  310","17.0","25.9",,,,,,,,,,,,
"USW00094728","2013-01-06","6.71",,"0.00","0.0","0.0",,"46","34",,"  290","  270","13.0","19.9",,,,,,"    1","    1",,,"    1",,
"USW00094728","2013-01-07","5.37",,"0.00","0.0","0.0",,"45","37",,"  310","  310","16.1","25.1",,,,,,,,,,,,
"USW00094728","2013-01-08","6.49",,"0.00","0.0","0.0",,"48","35",,"  250","  260","17.0","25.1",,,,,,,,,,,,
"USW00094728","2013-01-09","4.03",,"0.00","0.0","0.0",,"49","39",,"  270","  250","14.1","21.9",,,,,,"    1",,,,,,
"USW00094728","2013-01-10","6.71",,"0.00","0.0","0.0",,"47","40",,"  310","  290","15.0","21.9",,,,,,,,,,,,
"USW00094728","2013-01-11","4.47",,"0.55","0.0","0.0",,"46","37",,"  120","  180","10.1","14.1",,,,,,,"    1",,"    1",,,
"USW00094728","2013-01-12","3.80",,"0.02","0.0","0.0",,"47","42",,"  350","  350","10.1","14.1","    1",,,,,,"    1",,"    1",,,
"USW00094728","2013-01-13","2.68",,"0.00","0.0","0.0",,"50","43",,"  180","  170","12.1","17.9","    1",,,,,"    1","    1",,,,,
"USW00094728","2013-01-14","4.92",,"0.09","0.0","0.0",,"56","38",,"  310","  320","14.1","21.0","    1",,,,,"    1","    1",,"    1",,,
"USW00094728","2013-01-15","6.93",,"0.12","0.0","0.0",,"38","35",,"   20","   60","13.0","19.0","    1",,,,,,"    1",,"    1",,"    1",
"USW00094728","2013-01-16","4.92",,"0.69","0.0","0.0",,"37","32",,"  310","  310","16.1","27.1",,,,,,,"    1",,"    1",,"    1",
"USW00094728","2013-01-17","5.59",,"0.00","0.0","0.0",,"43","35",,"  310","  280","13.0","19.9",,,,,,,,,,,,
"USW00094728","2013-01-18","6.71",,"0.00","0.0","0.0",,"35","25",,"  240","  240","14.1","23.0",,,,,,,,,,,,
"USW00094728","2013-01-19","9.84",,"0.00","0.0","0.0",,"51","30",,"  250","  260","19.9","32.0",,,,,,,,,,,,
"USW00094728","2013-01-20","10.96",,"0.00","0.0","0.0",,"53","30",,"  280","  280","23.0","36.9",,,,,,,,,,,,
"USW00094728","2013-01-21","5.14",,"0.00","0.0","0.0",,"32","26",,"  310","  320","15.0","21.9",,,,,,,,,,,,
"USW00094728","2013-01-22","10.51",,"0.00","0.0","0.0",,"27","13",,"  290","  290","19.9","29.1",,,,,,"    1",,,,"    1",,
